name	Gr	W	L	Tot	W_pct	selection	finals_app	g_W	g_L	Tot_Gms	g_W_pct
李昱諄 - 國泰人壽	女	5	0	5	1.000	第一次賽入選	1	15	0	15	1.000
鄭先知 - 國泰人壽	女	5	0	5	1.000	第一次賽入選	1	15	5	20	0.750
劉馨尹 - 國泰人壽	女	9	1	10	0.900	第二次賽入選	2	29	6	35	0.829
葉伊恬 - 合作金庫	女	7	1	8	0.875	第二次賽入選	1	21	8	29	0.724
王意如 - 合作金庫	女	10	2	12	0.833	第三次賽入選	1	31	13	44	0.705
陳映蓁 - 國泰人壽	女	16	4	20	0.800	第五次賽入選	3	53	24	77	0.688
鄭樸璿 - 合作金庫	女	8	2	10	0.800	第三次賽入選	1	25	16	41	0.610
黃 歆 - 國泰人壽	女	18	5	23	0.783	第六次賽入選	2	58	22	80	0.725
黃怡樺 - 合作金庫	女	10	3	13	0.769	第四次賽入選	1	34	11	45	0.756
黃禹喬 - 國泰人壽	女	10	3	13	0.769	第四次賽入選	1	35	16	51	0.686
簡彤娟 - 國泰人壽	女	13	4	17	0.765	第五次賽入選	1	46	16	62	0.742
王小昕 - 合作金庫	女	17	6	23	0.739	-	1	58	33	91	0.637
黃郁雯 - 國泰人壽	女	14	5	19	0.737	第六次賽入選	2	47	30	77	0.610
林珈芝 - 合作金庫	女	16	6	22	0.727	-	0	51	29	80	0.638
陳亭婷 - 國泰人壽	女	18	7	25	0.720	-	4	60	35	95	0.632
廖庭瑤 - 國泰人壽	女	15	6	21	0.714	-	0	50	23	73	0.685
蔡育勤 - 合作金庫	女	13	6	19	0.684	-	0	44	26	70	0.629
朱以晴 - 國泰人壽	女	13	6	19	0.684	-	0	46	30	76	0.605
陳慈瑄 - 國泰人壽	女	12	6	18	0.667	-	0	46	26	72	0.639
張盈楹 - 北市大	女	11	6	17	0.647	-	0	39	28	67	0.582
林家瑄 - 臺灣體大	女	11	6	17	0.647	-	0	38	28	66	0.576
巫嘉恩 - 國泰人壽	女	11	6	17	0.647	-	1	35	31	66	0.530
劉如紜 - 合作金庫	女	12	7	19	0.632	-	0	45	28	73	0.616
謝昕融 - 合作金庫	女	10	6	16	0.625	-	0	32	26	58	0.552
黃敏瑜 - 合作金庫	女	9	6	15	0.600	-	0	33	26	59	0.559
蔡昀恩 - 合作金庫	女	8	6	14	0.571	-	0	26	22	48	0.542
劉聿兒 - 國泰人壽	女	8	6	14	0.571	-	0	29	25	54	0.537
林佳慧 - 國泰人壽	女	9	7	16	0.562	-	0	33	27	60	0.550
陳琦媗 - 合作金庫	女	7	6	13	0.538	-	0	27	21	48	0.562
陳佳宜 - 國泰人壽	女	7	6	13	0.538	-	0	28	24	52	0.538
彭郁涵 - 國泰人壽	女	7	6	13	0.538	-	0	25	24	49	0.510
林芊瑩 - 國泰人壽	女	7	6	13	0.538	-	0	24	24	48	0.500
張孟媫 - 中港高中	女	6	6	12	0.500	-	0	24	21	45	0.533
吳映萱 - 國泰人壽	女	6	6	12	0.500	-	0	27	25	52	0.519
高凡媞 - 國泰人壽	女	6	6	12	0.500	-	0	21	24	45	0.467
梁菀庭 - 輔仁大學	女	5	6	11	0.455	-	0	23	21	44	0.523
吳宜琪 - 北市大	女	5	6	11	0.455	-	0	24	24	48	0.500
吳憶樺 - 個人報名	女	5	6	11	0.455	-	0	21	21	42	0.500
李霈蓉 - 國泰人壽	女	5	6	11	0.455	-	0	21	21	42	0.500
張浿珊 - 國泰人壽	女	5	6	11	0.455	-	0	22	24	46	0.478
裴紫妮 - 國泰人壽	女	5	6	11	0.455	-	0	18	21	39	0.462
郭珈妤 - 國泰人壽	女	5	6	11	0.455	-	0	21	26	47	0.447
王毓潔 - 國泰人壽	女	5	6	11	0.455	-	0	19	24	43	0.442
蘇珮綾 - 合作金庫	女	3	4	7	0.429	-	0	12	16	28	0.429
鮑起華 - 國泰人壽	女	4	6	10	0.400	-	0	21	21	42	0.500
洪可珊 - 合作金庫	女	4	6	10	0.400	-	0	17	21	38	0.447
李婉瑄 - 合作金庫	女	4	6	10	0.400	-	1	17	21	38	0.447
邱嗣樺 - 國泰人壽	女	4	6	10	0.400	-	0	14	19	33	0.424
施綾軒 - 臺灣體大	女	4	6	10	0.400	-	0	17	24	41	0.415
陳羿捷 - 藝術高中	女	4	6	10	0.400	-	0	14	23	37	0.378
陳芃愉 - 臺灣體大	女	3	5	8	0.375	-	0	13	16	29	0.448
林芯彤 - 國泰人壽	女	3	6	9	0.333	-	0	16	20	36	0.444
蔡佩蓉 - 合作金庫	女	3	6	9	0.333	-	0	14	19	33	0.424
陳祈韻 - 合作金庫	女	3	6	9	0.333	-	0	16	22	38	0.421
蔡依珍 - 華江高中	女	3	6	9	0.333	-	0	15	22	37	0.405
黃文婷 - 臺灣體大	女	3	6	9	0.333	-	0	12	18	30	0.400
莊銘儀 - 臺灣師大	女	3	6	9	0.333	-	0	14	21	35	0.400
蔡侑臻 - 合作金庫	女	3	6	9	0.333	-	0	13	21	34	0.382
廖雅萱 - 竹崎高中	女	3	6	9	0.333	-	0	13	21	34	0.382
