name	Gr	W	L	Tot	W_pct	selection	finals_app	g_W	g_L	Tot_Gms	g_W_pct
黃淨嘉 - 合作金庫	女	3	6	9	0.333	-	0	12	20	32	0.375
許伊宸 - 北市大-博愛區	女	3	6	9	0.333	-	0	13	23	36	0.361
游舒丞 - 臺灣體大	女	2	5	7	0.286	-	0	7	19	26	0.269
宋若安 - 臺灣師大	女	2	6	8	0.250	-	0	13	20	33	0.394
于修婷 - 國泰人壽	女	2	6	8	0.250	-	0	13	20	33	0.394
吳妤彤 - 臺灣體大	女	2	6	8	0.250	-	0	14	22	36	0.389
王佳甄 - 臺灣體大	女	2	6	8	0.250	-	0	10	20	30	0.333
王媺淇 - 國泰人壽	女	2	6	8	0.250	-	0	10	20	30	0.333
曾湘涵 - 國泰人壽	女	2	6	8	0.250	-	0	10	20	30	0.333
李昕霈 - 合作金庫	女	2	6	8	0.250	-	0	8	19	27	0.296
魏安屏 - 國泰人壽	女	2	6	8	0.250	-	0	8	21	29	0.276
梁羽宸 - 泰山高中	女	2	6	8	0.250	-	0	8	22	30	0.267
郭千翠 - 華江高中	女	2	7	9	0.222	-	0	11	19	30	0.367
李姿瑩 - 高雄中學	女	1	6	7	0.143	-	0	9	18	27	0.333
簡羽伶 - 合作金庫	女	1	6	7	0.143	-	0	9	18	27	0.333
劉宇婕 - 忠孝國中	女	1	6	7	0.143	-	0	9	19	28	0.321
郭宜真 - 南湖高中	女	1	6	7	0.143	-	0	9	20	29	0.310
陳忞昕 - 八馬國際	女	1	6	7	0.143	-	0	8	18	26	0.308
陳沂芊 - 臺灣師大	女	1	6	7	0.143	-	0	8	19	27	0.296
陳皓萱 - 內湖高工	女	1	6	7	0.143	-	0	7	18	25	0.280
蔡豐恩 - 國泰人壽	女	1	6	7	0.143	-	0	7	18	25	0.280
李謦妤 - 南湖高中	女	1	6	7	0.143	-	0	7	19	26	0.269
吳晏甄 - 國泰人壽	女	1	6	7	0.143	-	0	5	20	25	0.200
許滋玹 - 合作金庫	女	1	6	7	0.143	-	0	5	20	25	0.200
陳 薇 - 臺灣師大	女	1	6	7	0.143	-	0	3	20	23	0.130
郭伃璇 - 大同高中	女	0	6	6	0.000	-	0	5	18	23	0.217
陳頤謙 - 臺北商大	女	0	6	6	0.000	-	0	4	18	22	0.182
謝于璇 - 臺灣師大	女	0	6	6	0.000	-	0	4	18	22	0.182
陳采妮 - 合作金庫	女	0	3	3	0.000	-	0	2	9	11	0.182
郭家妘 - 國立體大	女	0	5	5	0.000	-	0	3	15	18	0.167
梁羽芯 - 合作金庫	女	0	6	6	0.000	-	0	3	18	21	0.143
林姿妍 - 合作金庫	女	0	6	6	0.000	-	0	2	18	20	0.100
鄭晴文 - 國泰人壽	女	0	6	6	0.000	-	0	1	18	19	0.053
