選手姓名 - 隊名	組	勝	敗	場	勝率	入選賽次	決選數	勝局	敗局	總局	局勝率
黎昕陽 - 第一銀行	男	6	0	6	1.000	第一次賽	1	18	3	21	0.857
高承睿 - 合作金庫	男	6	0	6	1.000	第一次賽	1	18	4	22	0.818
李佳陞 - 第一銀行	男	9	1	10	0.900	第二次賽	1	29	9	38	0.763
楊嘉安 - 第一銀行	男	8	1	9	0.889	第二次賽	1	25	11	36	0.694
楊恆韋 - 第一銀行	男	19	4	23	0.826	第六次賽	3	63	29	92	0.685
陳建安 - 合作金庫	男	18	4	22	0.818	第五次賽	1	56	20	76	0.737
廖振珽 - 第一銀行	男	9	2	11	0.818	第三次賽	1	29	11	40	0.725
楊子儀 - 合作金庫	男	13	3	16	0.812	第四次賽	1	41	17	58	0.707
葉致緯 - 第一銀行	男	15	4	19	0.789	第五次賽	1	49	21	70	0.700
馮翊新 - 合作金庫	男	21	6	27	0.778	-	3	71	27	98	0.724
林彥均 - 第一銀行	男	17	5	22	0.773	第六次賽	1	55	24	79	0.696
黃彥誠 - 合作金庫	男	9	3	12	0.750	第四次賽	1	30	20	50	0.600
黃建都 - 合作金庫	男	14	5	19	0.737	-	1	48	26	74	0.649
王晨又 - 第一銀行	男	8	3	11	0.727	第三次賽	1	27	12	39	0.692
莊家權 - 八馬國際	男	16	6	22	0.727	-	2	57	28	85	0.671
黃毓仁 - 第一銀行	男	16	6	22	0.727	-	0	55	29	84	0.655
黎彥君 - 第一銀行	男	16	6	22	0.727	-	0	53	31	84	0.631
孫嘉宏 - 合作金庫	男	15	6	21	0.714	-	0	55	26	81	0.679
蔡淳佑 - 屏東科大	男	14	6	20	0.700	-	0	50	31	81	0.617
曾子彧 - 智淵乒乓	男	13	6	19	0.684	-	0	46	26	72	0.639
郭冠宏 - 合作金庫	男	13	6	19	0.684	-	1	42	31	73	0.575
高民騏 - 國立體大	男	13	6	19	0.684	-	1	43	32	75	0.573
王泰崴 - 合作金庫	男	12	6	18	0.667	-	1	44	25	69	0.638
彭王維 - 合作金庫	男	11	6	17	0.647	-	1	40	22	62	0.645
徐絃家 - 合作金庫	男	10	6	16	0.625	-	0	34	24	58	0.586
洪子翔 - 合作金庫	男	10	6	16	0.625	-	0	34	26	60	0.567
張秉丞 - 第一銀行	男	10	6	16	0.625	-	0	32	29	61	0.525
黎昕祐 - 第一銀行	男	9	6	15	0.600	-	0	34	23	57	0.596
吳元佑 - 合作金庫	男	9	6	15	0.600	-	0	31	22	53	0.585
彭 旨 - 第一銀行	男	9	6	15	0.600	-	0	33	26	59	0.559
葉伊恩 - 智淵乒乓	男	8	6	14	0.571	-	0	30	23	53	0.566
蔡榜原 - 合作金庫	男	8	6	14	0.571	-	0	30	23	53	0.566
吳喆安 - 高雄師大	男	8	6	14	0.571	-	0	27	21	48	0.562
楊振岳 - 第一銀行	男	8	6	14	0.571	-	0	29	29	58	0.500
蔡天羽 - 第一銀行	男	8	6	14	0.571	-	0	27	29	56	0.482
王翊帆 - 第一銀行	男	7	6	13	0.538	-	0	30	21	51	0.588
戴茗葦 - 第一銀行	男	7	6	13	0.538	-	0	25	19	44	0.568
許宸逢 - 八馬國際	男	7	6	13	0.538	-	0	25	19	44	0.568
梁振威 - 合作金庫	男	7	6	13	0.538	-	0	28	22	50	0.560
洪敬愷 - 第一銀行	男	7	6	13	0.538	-	0	27	23	50	0.540
蔡政安 - 輔仁大學	男	7	6	13	0.538	-	0	24	22	46	0.522
陳彥廷 - 合作金庫	男	7	6	13	0.538	-	0	25	24	49	0.510
楊皓任 - 第一銀行	男	6	6	12	0.500	-	0	25	19	44	0.568
梅日燁 - 臺灣師大	男	6	6	12	0.500	-	0	23	19	42	0.548
蘇晨翔 - 合作金庫	男	6	6	12	0.500	-	0	24	20	44	0.545
汪品翰 - 合作金庫	男	6	6	12	0.500	-	0	23	21	44	0.523
黃弘州 - 臺灣體大	男	6	6	12	0.500	-	0	21	20	41	0.512
蔡賾安 - 第一銀行	男	6	6	12	0.500	-	0	25	24	49	0.510
羅聿凱 - 合作金庫	男	6	6	12	0.500	-	0	21	21	42	0.500
張睿煬 - 第一銀行	男	6	6	12	0.500	-	0	20	20	40	0.500
張家皓 - 八馬國際	男	6	6	12	0.500	-	0	23	24	47	0.489
蘇子絜 - 國立體大	男	6	6	12	0.500	-	0	22	23	45	0.489
秦楙棖 - 國立體大	男	6	6	12	0.500	-	0	22	24	46	0.478
黃培祐 - 合作金庫	男	6	6	12	0.500	-	0	22	26	48	0.458
張幃哲 - 永豐高中	男	6	6	12	0.500	-	0	20	24	44	0.455
蘇昱綸 - 合作金庫	男	5	6	11	0.455	-	0	25	23	48	0.521
闕壯庭 - 北市大-博愛區	男	5	6	11	0.455	-	0	21	24	45	0.467
戴博鈞 - 合作金庫	男	5	6	11	0.455	-	0	19	23	42	0.452
辜崇晏 - 臺灣體大	男	5	6	11	0.455	-	0	20	26	46	0.435
林子恩 - 臺灣體大	男	5	6	11	0.455	-	0	17	23	40	0.425
賴啟鑑 - 八馬國際	男	4	5	9	0.444	-	0	16	19	35	0.457
楊謝翊 - 智淵乒乓	男	4	6	10	0.400	-	0	17	17	34	0.500
